district,name,latitude,longitude
Phra Nakhon District,The Red Cross Health Station 2,13.7519317,100.4972541
Samphanthawong District,Thian Fah Foundation Hospital,13.7382455,100.5123052
Samphanthawong District,Samitivej Chinatown Hospital,13.7377811,100.5125458
Pom Prap Sattru Phai District,Huachiew TCM,13.7501618,100.5165921
Pom Prap Sattru Phai District,Thonburi Bumrungmuang Hospital,13.7505419,100.5144643
Pom Prap Sattru Phai District,Hua Chiew Hospital,13.7500111,100.515513
Pom Prap Sattru Phai District,Klang Hospital,13.7464613,100.5092037
Bang Rak District,Bangkok Christian Hospital,13.7284252,100.5311844
Bang Rak District,Lerdsin Hospital,13.721868,100.517524
Bang Rak District,Public Health Center 23 Si Phraya,13.7307483,100.5203288
Bang Rak District,BNH Hospital,13.7249135,100.5349843
Bang Rak District,Mahaesak Hospital,13.7253986,100.5194286
Pathum Wan District,King Chulalongkorn Memorial Hospital,13.7327457,100.5357558
Pathum Wan District,Jetanin Institute for Assisted Reproduction,13.7471925,100.5448787
Pathum Wan District,Hospital of the Faculty of Dentistry,13.7432919,100.5349465
Pathum Wan District,Police General Hospital,13.7433791,100.5377612
Ratchathewi District,Deja Hospital,13.7568871,100.5355632
Ratchathewi District,Burachat Chaiyakon Hospital,13.7520786,100.5516493
Ratchathewi District,Rajavithi Hospital,13.7640676,100.5359605
Ratchathewi District,Ratchathewi Districtschool0,13.7639956,100.5354378
Ratchathewi District,Prasat Neurological Institute,13.7687237,100.5271609
Ratchathewi District,National Cancer Institute,13.7675199,100.5272625
Ratchathewi District,Dermatological Institute,13.7656256,100.5357574
Ratchathewi District,Queen Sirikit National Institute of Child Health,13.7655367,100.5350533
Ratchathewi District,Phyathai 1 Hospital,13.7562463,100.5394304
Ratchathewi District,Bhumirajanagarindra Kidney Institute Hospital,13.760003,100.5345454
Ratchathewi District,Priest Hospital,13.7618929,100.5271597
Ratchathewi District,Phramongkutklao Hospital,13.768069,100.5343175
Ratchathewi District,Ratchathewi Districtschool1,13.7487042,100.5487549
Ratchathewi District,Ramathibodi Hospital,13.7674351,100.5266525
Phaya Thai District,Public Health Center 11,13.792343,100.5396756
Phaya Thai District,Ratchakru Medical Center,13.7775546,100.542245
Phaya Thai District,ศูนย์บริการเครื่องช่วยฟังอินทิเม็กซ์,13.7946243,100.5385011
Phaya Thai District,Phyathai 2 Hospital,13.7702654,100.5404351
Phaya Thai District,Phaya Thai Districtschool0,13.7774726,100.5421504
Phaya Thai District,Vichaiyut Hospital (Old [North] Building),13.7834092,100.5337807
Phaya Thai District,Vichaiyut Hospital (New [South] Building),13.7806615,100.532883
Phaya Thai District,Veterans General Hospital,13.7725788,100.5514026
Phaya Thai District,โรงพยาบาลโรคปอดกรุงเทพ,13.7848733,100.5460209
Phaya Thai District,ศูนย์สุขภาพช่องปากขั้นสูง,13.783114,100.5340149
Phaya Thai District,โรงพยาบาลพญาไท พหลโยธิน,13.7921997,100.5498808
Phaya Thai District,Vimut Hospital,13.7887662,100.548652
Dusit District,Bangkok Adventist Hospital,13.7577321,100.5191274
Dusit District,โรงพยาบาลการไฟฟ้านครหลวง,13.7870006,100.5096209
Bang Sue District,โรงพยาบาลเกษมราษฎร์ ประชาชื่น,13.8318854,100.5386866
Bang Sue District,ศูนย์บริการสาธารณะสุข 3 บางซื่อ,13.8023582,100.5339465
Bang Sue District,โรงพยาบาลบางโพ,13.8068562,100.5229925
Chatuchak District,Mayo Hospital,13.8354411,100.5738973
Chatuchak District,สถานพยาบาลแพทย์แผนจีน มหาวิทยาลัยราชภัฏจันทรเกษม,13.8189754,100.5756447
Chatuchak District,Vibhavadi Hospital,13.8461353,100.5619709
Chatuchak District,Infirmary of Kasetsart University,13.8467299,100.5683329
Chatuchak District,Public Health Center 24 Bang Khen,13.8497864,100.581165
Chatuchak District,Miracal of lifes,13.8156884,100.5527665
Chatuchak District,Department of Corrections Hospital,13.8496979,100.5534927
Lak Si District,Mongkutwattana General Hospital,13.8939018,100.5616676
Lak Si District,Chulabhorn Hospital,13.880914,100.5781772
Lak Si District,ศูนย์การแพทย์ภัทรมหาราชานุสรณ์ โรงพยาบาลจุฬาภรณ์,13.8797102,100.5730487
Lak Si District,Lak Si Districtschool0,13.8784522,100.5707431
Lak Si District,โรงพยาบาลมงกุฎวัฒนะ,13.8940378,100.5618268
Bang Khen District,Home for the Blind,13.8453044,100.6352788
Bang Khen District,Hospital central GENERAL,13.8889032,100.6060256
Bang Khen District,KMB Hospital,13.8708252,100.6040244
Bang Khen District,SYH Hospital,13.8821509,100.6076132
Din Daeng District,ศูนย์บริการสาธารณสุข 52 สามเสนนอก,13.7774692,100.5702045
Din Daeng District,ศูนย์บริการสาธารณสุข 4 ดินแดง,13.7698175,100.5580188
Din Daeng District,Rajanukul Institute,13.762087,100.5541756
Huai Khwang District,Petcharavej Hospital,13.7428473,100.5947191
Huai Khwang District,Praram 9 Hospital,13.7528989,100.5707886
Huai Khwang District,Piyavate Hospital,13.7534185,100.5801179
Huai Khwang District,โรงพยาบาล เพชรเวช,13.7433306,100.5936225
Huai Khwang District,Asoke Skin Hospital,13.7508493,100.5643501
Huai Khwang District,Saint Carlos Hospital,13.7838555,100.57659
Huai Khwang District,Bangkok Hospital,13.749195,100.5832663
Khlong Toei District,Theptarin Hospital,13.7144385,100.5770853
Khlong Toei District,Mandarin Clinic Rama 4,13.7159788,100.5746292
Khlong Toei District,Kluai Nam Thai Hospital,13.7150697,100.5864751
Khlong Toei District,Benchakitti Park Hospital,13.7246218,100.5539979
Khlong Toei District,สำนักแพทย์และอนามัย การท่าเรือฯ,13.715152,100.5661234
Khlong Toei District,โรงพยาบาลสุขุมวิท,13.7189835,100.587386
Khlong Toei District,Khlong Toei Districtschool0,13.7246377,100.5539141
Khlong Toei District,MedPark Hospital,13.7217239,100.5566062
Lat Phrao District,Prodenta Dental Clinic,13.8343627,100.6110973
Lat Phrao District,Kudos By Tarakorn,13.8343093,100.6110893
Lat Phrao District,Pruksa Clinic,13.834407,100.6110584
Lat Phrao District,S-Smart Clinic,13.8345164,100.6110973
Lat Phrao District,Siam Hospital,13.8022151,100.596123
Sai Mai District,Bhumibol Adulyadej Hospital,13.9090183,100.6181733
Sai Mai District,B Care Medical Center Hospital,13.9436991,100.6247073
Sai Mai District,Sai Mai Hospital,13.9234182,100.6841823
Vadhana District,charisma,13.7280179,100.5742113
Vadhana District,HE Clinic for men,13.7261339,100.5802013
Vadhana District,Anonymous MedConsult Clinic,13.7366322,100.5759328
Vadhana District,WellMed clinic,13.7354404,100.5632733
Vadhana District,Samitivej Sukhumvit Hospital,13.7348983,100.5764713
Vadhana District,Camillian Hospital,13.7391614,100.5835244
Vadhana District,Rutnin Eye Hospital,13.7465086,100.5630836
Vadhana District,Banphaeo Hospital,13.7331603,100.5736826
Vadhana District,โรงพยาบาลสุขุมวิท,13.7189835,100.587386
Vadhana District,Bumrungrad International Hospital,13.7465403,100.5525276
Bang Kapi District,Serene Hospital,13.7404216,100.6536188
Bang Kapi District,Bang Kapi Districtschool0,13.7610564,100.6361759
Bang Kapi District,Ramkhamhaeng Hospital,13.7580245,100.6368222
Bang Kapi District,Vejthani Hospital,13.7719699,100.6369087
Thawi Watthana District,Galya Rajanagarindra Institute,13.762015,100.3323036
Thawi Watthana District,Thonburi Thawiwatthana Hospital,13.7828078,100.4004218
Wang Thonglang District,Thachapat Clinic,13.7896637,100.6074091
Wang Thonglang District,Ladprao Hospital,13.7781337,100.6242922
Bang Phlat District,รพ.ตา หู คอ จมูก,13.7878138,100.4704126
Bang Phlat District,Yanhee International Hospital,13.7996304,100.511543
Bangkok Noi District,Thonburi Hospital,13.7529428,100.480116
Bangkok Noi District,Bangkok Noi Districtschool0,13.7554064,100.4789514
Bangkok Noi District,Chaophya Hospital,13.7802789,100.470588
Bangkok Noi District,Siriraj Hospital,13.7578493,100.4853798
Bangkok Noi District,Siriraj Piyamaharajkarun Hospital,13.7600275,100.486176
Nong Khaem District,โรงพยาบาลชุมชน นาควัชระอุทิศ,13.6901194,100.3702392
Nong Khaem District,Vichaivej International Nongkhaem,13.7076276,100.3608638
Nong Khaem District,Luang Pho Thawisak Hospital,13.6563448,100.3453177
Bang Khae District,Bang Khae Districtschool0,13.7108224,100.3988259
Bang Khae District,ศศิรักษ์คลินิกเวชกรรม,13.7093097,100.3880494
Bang Khae District,รพ เกษมราษฎร์ บางแค,13.7108222,100.3988257
Bueng Kum District,Hua Yan Ham Hospital,13.8141759,100.6360182
Bueng Kum District,Smile Together Clinic,13.8180636,100.6548199
Bueng Kum District,Public Health Center 56 Tubcharoen,13.8373594,100.6369757
Bueng Kum District,Phaya Thai Hospital Navamin,13.8254686,100.657498
Khan Na Yao District,Synphaet Ramindra Hospital,13.8342802,100.6666008
Khan Na Yao District,Nopparat Rajathanee Hospital,13.8173643,100.6883458
Khan Na Yao District,serithai animalclinic,13.7939042,100.6887858
Phasi Charoen District,สถานีกาชาดที่ 11 วิเศษนิยม,13.7125212,100.4356835
Phasi Charoen District,Bang Phai Hospital,13.7249938,100.4650089
Phasi Charoen District,โรงพยาบาลเพชรเกษม 2,13.7118679,100.431882
Phasi Charoen District,Phyathai 3 Hospital,13.7230926,100.4640154
Khlong Sam Wa District,โรงพยาบาลคลองสามวา,13.910418,100.7531228
Bang Na District,โรงพยาบาลบางนากรุงเทพมหานคร,13.6797164,100.5926741
Bang Na District,WIH International Hospital,13.6638559,100.6505749
Bang Na District,Bangna Hospital,13.6669429,100.635481
Bang Na District,Thai Nakarin Hospital,13.6680442,100.6384211
Bang Na District,Sikarin Hospital,13.6542071,100.6461512
Min Buri District,โรงพยาบาล นวมินทร์ 9,13.8112938,100.7239005
Min Buri District,โรงพยาบาล เสรีรักษ์,13.8111264,100.7173999
Prawet District,โรงพยาบาลสิรินธร,13.7176626,100.7065976
Saphan Sung District,Kasemrad Hospital Ramkhamhaeng,13.7799742,100.6761541
Suan Luang District,Phaet Panya Hospital,13.7438623,100.6074137
Suan Luang District,Vibharam Hospital,13.7347423,100.6454946
Chom Thong District,mandarin clinic rama 2,13.6880969,100.4836161
Chom Thong District,Bangprakok 9 International Hospital,13.6819541,100.474626
Chom Thong District,Prachachuen MRI,13.6815129,100.4742864
Rat Burana District,Rat Burana Hospital,13.678055,100.5025864
Rat Burana District,Krung Thon 2 Hospital,13.6760534,100.5010521
Rat Burana District,Rama Suk Sawat Hospital,13.677492,100.4985952
Rat Burana District,Bang Pakok 1 Hospital,13.6787951,100.4989117
Thung Khru District,ศูนย์บริการสาธารณสุข 59 ทุ่งครุ,13.6072325,100.506519
Khlong San District,Mittraphap Hospital,13.7284992,100.4945505
Khlong San District,Taksin Hospital,13.7308535,100.5079233
Khlong San District,Somdet Chao Phraya Hospital,13.7304374,100.5046915
Thon Buri District,Ratchada-Tha Phra Hospital,13.7171235,100.4774705
Thon Buri District,Yaowarak Hospital,13.7199502,100.4747209
Thon Buri District,Samitivej Thonburi Hospital,13.7142787,100.4898251
Thon Buri District,Somdech Phra Pinklao Hospital,13.7101671,100.4847344
Bang Bon District,Bangpakok 8 Hospital,13.6626335,100.4071856
Bang Khun Thian District,Nakornthon Hospital,13.6606056,100.4343189
Bang Khun Thian District,Bang Khun Thian Districtschool0,13.6620372,100.4425584
Bang Khun Thian District,PMG Hospital,13.6517378,100.4220763
