district,name,latitude,longitude
Phra Nakhon District,Phra Nakhon District temple 1,13.7615498,100.5005007
Phra Nakhon District,Phra Nakhon District temple 2,13.7632644,100.4964331
Phra Nakhon District,เทวาลัยพระวิษณุ,13.751445,100.501837
Phra Nakhon District,ศาลเชือก,13.7528141,100.4912514
Phra Nakhon District,ศาลเจ้าแม่เฮงหลุย,13.7527673,100.4901544
Phra Nakhon District,ศาลเจ้าแม่ทับทิม พาหุรัด,13.7433223,100.5013686
Phra Nakhon District,Phra Nakhon District temple 3,13.7500691,100.5045843
Phra Nakhon District,วัดทิพยวารีวิหาร,13.746229,100.4986399
Phra Nakhon District,มลฑลพิธีท้องสนามหลวง,13.755666,100.4931768
Phra Nakhon District,วัดสุทัศนเทพวรารามราชวรมหาวิหาร,13.7501169,100.5009642
Phra Nakhon District,วัดชนะสงครามราชวรมหาวิหาร,13.7604288,100.4955322
Phra Nakhon District,วัดราชนัดดารามวรวิหาร,13.7548368,100.5042538
Phra Nakhon District,วัดมหรรณพารามวรวิหาร,13.7547351,100.4993781
Phra Nakhon District,คุรุดวาราศรีคุรุสิงห์สภา,13.744154,100.5010622
Phra Nakhon District,ศาลหลักเมืองกรุงเทพมหานคร,13.752563,100.4940313
Phra Nakhon District,วัดราชบพิธสถิตมหาสีมารามราชวรวิหาร,13.7490605,100.4971839
Phra Nakhon District,วัดชนะสงครามราชวรมหาวิหาร,13.7608258,100.4950778
Phra Nakhon District,วัดมหาธาตุยุวราชรังสฤษฎิ์ราชวรมหาวิหาร,13.7547697,100.4907979
Phra Nakhon District,วัดสามพระยาวรวิหาร,13.7659198,100.4990287
Phra Nakhon District,วัดตรีทศเทพวรวิหาร,13.7621183,100.5031447
Phra Nakhon District,วัดมกุฏกษัตริยารามราชวรวิหาร,13.7640009,100.5065143
Phra Nakhon District,วัดราชบุรณราชวรวิหาร,13.7421419,100.4992556
Phra Nakhon District,วัดพระศรีรัตนศาสดาราม,13.7515102,100.4926905
Phra Nakhon District,วัดบวรนิเวศราชวรวิหาร,13.7602768,100.4998351
Phra Nakhon District,มัสยิดจักรพงษ์,13.761839,100.4968466
Phra Nakhon District,วัดปรินายกวรวิหาร,13.7583469,100.5056632
Phra Nakhon District,วัดราชประดิษฐสถิตมหาสีมารามราชวรวิหาร,13.7495389,100.4956176
Phra Nakhon District,วัดเอี่ยมวรนุช,13.7662594,100.5010739
Phra Nakhon District,วัดอินทรวิหาร,13.7668188,100.5029939
Phra Nakhon District,วัดนรนาถสุนทริการาม,13.7695656,100.5027799
Phra Nakhon District,วัดเทพธิดารามวรวิหาร,13.7535047,100.5039886
Phra Nakhon District,วัดสังเวชวิศยาราม,13.7643585,100.4974247
Phra Nakhon District,วัดใหม่อมตรส,13.7644721,100.5016125
Phra Nakhon District,ศาลเจ้าพ่อข้าวตอก,13.7609427,100.4988474
Phra Nakhon District,มัสยิดบ้านตึกดิน,13.7582679,100.5003088
Phra Nakhon District,เทวสถานโบสถ์พราหมณ์,13.7523841,100.5006292
Phra Nakhon District,ศาลเจ้าแม่ตะเคียนทอง,13.7492053,100.4955866
